"Element","status","datetime","date","time","datetime10mins","B21"
"MDC_MDC AC Filter 21 VS","IN",2016-10-21 19:11:38,"21/10/2016","19:11:38",2016-10-21 19:10:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2016-11-27 16:46:08,"27/11/2016","16:46:08",2016-11-27 16:40:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-02-14 07:34:28,"14/2/2017 ","7:34:28 ",2017-02-14 07:30:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-03-20 11:24:53,"20/3/2017 ","11:24:53",2017-03-20 11:20:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-03-22 21:41:13,"22/3/2017 ","21:41:13",2017-03-22 21:40:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-14 13:52:00,"14/4/2017 ","13:52:00",2017-04-14 13:50:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-14 15:54:31,"14/4/2017 ","15:54:31",2017-04-14 15:50:00,"IN"
"MDC_MDC AC Filter 21 VS","UIT",2017-04-14 18:53:19,"14/4/2017 ","18:53:19",2017-04-14 18:50:00,"UIT"
"MDC_MDC AC Filter 21 VS","IN",2017-04-15 09:26:03,"15/4/2017 ","9:26:03 ",2017-04-15 09:20:00,"IN"
"MDC_MDC AC Filter 21 VS","UIT",2017-04-15 23:20:47,"15/4/2017 ","23:20:47",2017-04-15 23:20:00,"UIT"
"MDC_MDC AC Filter 21 VS","IN",2017-04-16 00:23:24,"16/4/2017 ","0:23:24 ",2017-04-16 00:20:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-16 03:22:06,"16/4/2017 ","3:22:06 ",2017-04-16 03:20:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-16 16:41:09,"16/4/2017 ","16:41:09",2017-04-16 16:40:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-18 08:33:39,"18/4/2017 ","8:33:39 ",2017-04-18 08:30:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-21 06:02:51,"21/4/2017 ","6:02:51 ",2017-04-21 06:00:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-21 07:24:32,"21/4/2017 ","7:24:32 ",2017-04-21 07:20:00,"IN"
"MDC_MDC AC Filter 21 VS","UIT",2017-04-21 07:53:37,"21/4/2017 ","7:53:37 ",2017-04-21 07:50:00,"UIT"
"MDC_MDC AC Filter 21 VS","IN",2017-04-22 02:30:12,"22/4/2017 ","2:30:12 ",2017-04-22 02:30:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-22 17:32:57,"22/4/2017 ","17:32:57",2017-04-22 17:30:00,"IN"
"MDC_MDC AC Filter 21 VS","UIT",2017-04-22 19:10:27,"22/4/2017 ","19:10:27",2017-04-22 19:10:00,"UIT"
"MDC_MDC AC Filter 21 VS","IN",2017-04-22 19:15:27,"22/4/2017 ","19:15:27",2017-04-22 19:10:00,"IN"
"MDC_MDC AC Filter 21 VS","IN",2017-04-28 00:12:29,"28/4/2017 ","0:12:29 ",2017-04-28 00:10:00,"IN"
